순위,제목,평점,예매율,개봉일
No.1,쿵푸팬더4,92,7.4,2024.04.10
No.2,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,98,5.4,2024.04.10
No.3,듄-파트2,96,3.6,2024.02.28
No.4,파묘,95,2.1,2024.02.22
No.5,고스트버스터즈: 오싹한 뉴욕,76,1.6,2024.04.17
No.6,남은 인생 10년,92,1.1,2024.04.03
No.7,극장판 스파이 패밀리 코드-화이트,94,1.1,2024.03.20
No.8,기동전사 건담 시드 프리덤,88,0.7,2024.04.03
No.9,댓글부대,83,0.7,2024.03.27
No.10,오멘-저주의 시작,87,0.5,2024.04.03
No.11,캐롤,92,0.5,2024.04.17
No.12,땅에 쓰는 시,96,0.3,2024.04.17
No.13,에스파: 월드 투어 인 시네마,95,0.3,2024.04.10
No.14,내 사랑,98,0.3,2024.04.17
No.15,로봇 드림,98,0.2,2024.03.13
No.16,유미의 세포들 더 무비,93,0.2,2024.04.03
No.17,바람의 세월,99,0.2,2024.04.03
No.18,키메라,92,0.2,2024.04.03
No.19,듄,92,0.2,2024.04.18
